Date, Time, Voltage
8/22/2018,7:13:54,2.31
8/22/2018,7:13:59,2.31
8/22/2018,7:14:04,2.31
8/22/2018,7:14:09,2.3
8/22/2018,7:14:14,2.3
8/22/2018,7:14:19,2.31
8/22/2018,7:14:24,2.31
8/22/2018,7:14:29,2.3
8/22/2018,7:14:34,2.31
8/22/2018,7:14:39,2.31
8/22/2018,7:14:44,2.31
8/22/2018,7:14:49,2.31
8/22/2018,7:14:54,2.31
8/22/2018,7:14:59,2.31
8/22/2018,7:15:04,2.31
8/22/2018,7:15:09,2.31
8/22/2018,7:15:14,2.31
8/22/2018,7:15:19,2.31
8/22/2018,7:15:24,2.31
8/22/2018,7:15:29,2.31
8/22/2018,7:15:34,2.31
8/22/2018,7:15:39,2.31
8/22/2018,7:15:44,2.3
8/22/2018,7:15:49,2.31
8/22/2018,7:15:54,2.3
8/22/2018,7:15:59,2.31
8/22/2018,7:16:04,2.31
8/22/2018,7:16:09,2.31
8/22/2018,7:16:14,2.31
8/22/2018,7:16:19,2.3
8/22/2018,7:16:24,2.31
8/22/2018,7:16:29,2.31
8/22/2018,7:16:34,2.31
8/22/2018,7:16:39,2.31
8/22/2018,7:16:44,2.31
8/22/2018,7:16:49,2.31
8/22/2018,7:16:54,2.31
8/22/2018,7:16:59,2.31
8/22/2018,7:17:04,2.31
8/22/2018,7:17:09,2.31
8/22/2018,7:17:14,2.3
8/22/2018,7:17:19,2.31
8/22/2018,7:17:24,2.31
8/22/2018,7:17:29,2.31
8/22/2018,7:17:34,2.3
8/22/2018,7:17:39,2.31
8/22/2018,7:17:44,2.31
8/22/2018,7:17:49,2.3
8/22/2018,7:17:54,2.31
8/22/2018,7:17:59,2.31
8/22/2018,7:18:04,2.31
8/22/2018,7:18:09,2.3
8/22/2018,7:18:14,2.31
8/22/2018,7:18:19,2.31
8/22/2018,7:18:24,2.31
8/22/2018,7:18:29,2.3
8/22/2018,7:18:34,2.3
8/22/2018,7:18:39,2.31
8/22/2018,7:18:44,2.31
8/22/2018,7:18:49,2.3
8/22/2018,7:18:54,2.31
8/22/2018,7:18:59,2.31
8/22/2018,7:19:04,2.31
8/22/2018,7:19:09,2.31
8/22/2018,7:19:14,2.31
8/22/2018,7:19:19,2.31
8/22/2018,7:19:24,2.31
8/22/2018,7:19:29,2.31
8/22/2018,7:19:34,2.31
8/22/2018,7:19:40,2.31
8/22/2018,7:19:45,2.31
8/22/2018,7:19:50,2.31
8/22/2018,7:19:55,2.31
8/22/2018,7:20:00,2.3
8/22/2018,7:20:05,2.31
8/22/2018,7:20:10,2.31
8/22/2018,7:20:15,2.31
8/22/2018,7:20:20,2.3
8/22/2018,7:20:25,2.31
8/22/2018,7:20:30,2.3
8/22/2018,7:20:35,2.31
8/22/2018,7:20:40,2.3
8/22/2018,7:20:45,2.3
8/22/2018,7:20:50,2.31
8/22/2018,7:20:55,2.31
8/22/2018,7:21:00,2.31
8/22/2018,7:21:05,2.31
8/22/2018,7:21:10,2.31
8/22/2018,7:21:15,2.31
8/22/2018,7:21:20,2.31
8/22/2018,7:21:25,2.31
8/22/2018,7:21:30,2.31
8/22/2018,7:21:35,2.31
8/22/2018,7:21:40,2.31
8/22/2018,7:21:45,2.31
8/22/2018,7:21:50,2.3
8/22/2018,7:21:55,2.31
8/22/2018,7:22:00,2.31
8/22/2018,7:22:05,2.31
8/22/2018,7:22:10,2.3
8/22/2018,7:22:15,2.31
8/22/2018,7:22:20,2.31
8/22/2018,7:22:25,2.31
8/22/2018,7:22:30,2.31
8/22/2018,7:22:35,2.31
8/22/2018,7:22:40,2.31
8/22/2018,7:22:45,2.31
8/22/2018,7:22:50,2.31
8/22/2018,7:22:55,2.31
8/22/2018,7:23:00,2.3
8/22/2018,7:23:05,2.31
8/22/2018,7:23:10,2.3
8/22/2018,7:23:15,2.31
8/22/2018,7:23:20,2.31
8/22/2018,7:23:25,2.31
8/22/2018,7:23:30,2.31
8/22/2018,7:23:35,2.31
8/22/2018,7:23:40,2.31
8/22/2018,7:23:45,2.31
8/22/2018,7:23:50,2.3
8/22/2018,7:23:55,2.31
8/22/2018,7:24:00,2.31
8/22/2018,7:24:05,2.31
8/22/2018,7:24:10,2.31
8/22/2018,7:24:15,2.31
8/22/2018,7:24:20,2.3
8/22/2018,7:24:25,2.31
8/22/2018,7:24:30,2.31
8/22/2018,7:24:35,2.31
8/22/2018,7:24:40,2.3
8/22/2018,7:24:45,2.31
8/22/2018,7:24:50,2.31
8/22/2018,7:24:55,2.31
8/22/2018,7:25:00,2.3
8/22/2018,7:25:05,2.31
8/22/2018,7:25:10,2.31
8/22/2018,7:25:15,2.3
8/22/2018,7:25:20,2.31
8/22/2018,7:25:25,2.31
8/22/2018,7:25:30,2.31
8/22/2018,7:25:35,2.31
8/22/2018,7:25:40,2.31
8/22/2018,7:25:45,2.3
8/22/2018,7:25:50,2.31
8/22/2018,7:25:55,2.31
8/22/2018,7:26:00,2.31
8/22/2018,7:26:05,2.31
8/22/2018,7:26:10,2.31
8/22/2018,7:26:15,2.31
8/22/2018,7:26:20,2.31
8/22/2018,7:26:25,2.31
8/22/2018,7:26:30,2.31
8/22/2018,7:26:35,2.31
8/22/2018,7:26:40,2.31
8/22/2018,7:26:45,2.31
8/22/2018,7:26:50,2.31
8/22/2018,7:26:55,2.3
8/22/2018,7:27:00,2.31
8/22/2018,7:27:05,2.31
8/22/2018,7:27:10,2.31
8/22/2018,7:27:15,2.31
8/22/2018,7:27:20,2.31
8/22/2018,7:27:25,2.31
8/22/2018,7:27:30,2.31
8/22/2018,7:27:35,2.31
8/22/2018,7:27:40,2.31
8/22/2018,7:27:45,2.31
8/22/2018,7:27:50,2.31
8/22/2018,7:27:55,2.31
8/22/2018,7:28:00,2.31
8/22/2018,7:28:05,2.31
8/22/2018,7:28:10,2.31
8/22/2018,7:28:15,2.31
8/22/2018,7:28:20,2.31
8/22/2018,7:28:25,2.3
8/22/2018,7:28:30,2.31
8/22/2018,7:28:35,2.31
8/22/2018,7:28:40,2.31
8/22/2018,7:28:45,2.31
8/22/2018,7:28:50,2.31
8/22/2018,7:28:55,2.31
8/22/2018,7:29:00,2.31
8/22/2018,7:29:05,2.31
8/22/2018,7:29:10,2.31
8/22/2018,7:29:15,2.3
8/22/2018,7:29:20,2.31
8/22/2018,7:29:25,2.31
8/22/2018,7:29:30,2.31
8/22/2018,7:29:35,2.31
8/22/2018,7:29:40,2.31
8/22/2018,7:29:45,2.31
8/22/2018,7:29:50,2.31
8/22/2018,7:29:55,2.31
8/22/2018,7:30:00,2.31
8/22/2018,7:30:05,2.31
8/22/2018,7:30:10,2.31
8/22/2018,7:30:15,2.31
8/22/2018,7:30:20,2.31
8/22/2018,7:30:25,2.31
8/22/2018,7:30:30,2.31
8/22/2018,7:30:35,2.31
8/22/2018,7:30:40,2.31
8/22/2018,7:30:45,2.31
8/22/2018,7:30:50,2.31
8/22/2018,7:30:55,2.31
8/22/2018,7:31:00,2.31
8/22/2018,7:31:05,2.3
8/22/2018,7:31:10,2.31
8/22/2018,7:31:15,2.31
8/22/2018,7:31:20,2.31
8/22/2018,7:31:25,2.31
8/22/2018,7:31:30,2.31
8/22/2018,7:31:35,2.31
8/22/2018,7:31:40,2.31
8/22/2018,7:31:45,2.31
8/22/2018,7:31:50,2.3
8/22/2018,7:31:55,2.31
8/22/2018,7:32:00,2.31
8/22/2018,7:32:05,2.31
8/22/2018,7:32:10,2.31
8/22/2018,7:32:15,2.31
8/22/2018,7:32:20,2.31
8/22/2018,7:32:25,2.31
8/22/2018,7:32:30,2.31
8/22/2018,7:32:35,2.31
8/22/2018,7:32:40,2.31
8/22/2018,7:32:45,2.31
8/22/2018,7:32:50,2.31
8/22/2018,7:32:55,2.31
8/22/2018,7:33:00,2.3
8/22/2018,7:33:05,2.31
8/22/2018,7:33:10,2.3
8/22/2018,7:33:15,2.31
8/22/2018,7:33:20,2.31
8/22/2018,7:33:25,2.31
8/22/2018,7:33:30,2.31
8/22/2018,7:33:35,2.31
8/22/2018,7:33:40,2.31
8/22/2018,7:33:45,2.31
8/22/2018,7:33:50,2.31
8/22/2018,7:33:55,2.31
8/22/2018,7:34:00,2.31
8/22/2018,7:34:05,2.3
8/22/2018,7:34:10,2.31
8/22/2018,7:34:15,2.31
8/22/2018,7:34:20,2.31
8/22/2018,7:34:25,2.31
8/22/2018,7:34:30,2.31
8/22/2018,7:34:35,2.31
8/22/2018,7:34:40,2.31
8/22/2018,7:34:45,2.31
8/22/2018,7:34:50,2.3
8/22/2018,7:34:55,2.3
8/22/2018,7:35:00,2.31
8/22/2018,7:35:05,2.31
8/22/2018,7:35:10,2.31
8/22/2018,7:35:15,2.31
8/22/2018,7:35:20,2.31
8/22/2018,7:35:25,2.31
8/22/2018,7:35:30,2.31
8/22/2018,7:35:35,2.31
8/22/2018,7:35:40,2.31
